URL,Venue Name,Phone,Venue Highlights,Guest Capacity,Address
https://www.wedding-spot.com/venue/9161/american-legion-post-129/,American Legion Post 129,732-551-2819,Valet parking,200,"2025 Church Road, Toms River, NJ 08753"
https://www.wedding-spot.com/venue/9190/tim-mcloones-supper-club/,Tim McLoone's Supper Club,732-774-1155,"Indoor and outdoor spaces,Valet parking",160,"1200 Ocean Avenue, Asbury Park, NJ 07712"
https://www.wedding-spot.com/venue/9431/hopewell-valley-vineyards/,Hopewell Valley Vineyards,609-737-4465,"Indoor and outdoor spaces,Valet parking",400,"46 Yard Road, Pennington, NJ 08534"
https://www.wedding-spot.com/venue/3184/cairnwood-estate/,Cairnwood Estate,215-947-2004,"3x award winner,Indoor and outdoor spaces,BYO",250,"1005 Cathedral Road, Bryn Athyn, PA 19009"
https://www.wedding-spot.com/venue/16839/sheraton-lincoln-harbor-hotel/,Sheraton Lincoln Harbor Hotel,,"Upgraded rentals included,Rentals included",110,"500 Harbor Blvd, Weehawken, NJ 07086"
https://www.wedding-spot.com/venue/18149/the-lake-house-on-canandaigua/,The Lake House on Canandaigua,585-394-7805,"Indoor and outdoor spaces,Valet parking",200,"770 South Main Street, Canandaigua, NY 14424"
https://www.wedding-spot.com/venue/2498/the-st-regis-new-york/,The St. Regis New York,212-339-6743,"Rentals included,Valet parking",220,"2 East 55th Street, New York, NY 10022"
https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills,609-397-3586,Indoor and outdoor spaces,150,"33 Risler Street, Stockton, NJ 08559"
https://www.wedding-spot.com/venue/11347/the-claridge-hotel/,The Claridge Hotel,609-487-4378,"Indoor and outdoor spaces,Rentals included,Valet parking",600,"123 South Indiana Avenue, Atlantic City, NJ 08401"
https://www.wedding-spot.com/venue/12618/lakewood-blueclaws-at-firstenergy-park/,Lakewood BlueClaws at FirstEnergy Park,732-901-7000 ext. 120,"Indoor and outdoor spaces,BYO,Valet parking",350,"2 Stadium Way, Lakewood, NJ 08701"
https://www.wedding-spot.com/venue/18060/millennium-hilton-new-york-one-un-plaza/,Millennium Hilton New York One UN Plaza,212-702-5003,"Upgraded rentals included,Rentals included,Valet parking",200,"One UN Plaza, New York, NY 10017"
https://www.wedding-spot.com/venue/11585/maggianos-little-italy-cherry-hill/,Maggiano's Little Italy- Cherry Hill,856-792-4480,,170,"2000 New Jersey 38, Cherry Hill, NJ 08002"
https://www.wedding-spot.com/venue/9937/the-windrift-avalon/,The Windrift- Avalon,609-368-5175 ext. 134,"Indoor and outdoor spaces,Valet parking",250,"105 80th Street, Avalon, NJ 08202"
https://www.wedding-spot.com/venue/3673/tarrytown-house-estate/,Tarrytown House Estate,914-591-3114,"Accommodation offered,Indoor and outdoor spaces,Rentals included",300,"49 East Sunnyside Lane, Tarrytown, NY 10591"
https://www.wedding-spot.com/venue/15185/oheka-castle/,OHEKA CASTLE,631-659-1402,"Indoor and outdoor spaces,Rentals included",350,"135 West Gate Drive, Huntington, NY 11743"
https://www.wedding-spot.com/venue/1376/andaz-5th-avenue/,Andaz 5th Avenue,212-699-5708,"Award winner,Rentals included,Valet parking",80,"485 5th Avenue, at 41st Street"
https://www.wedding-spot.com/venue/11114/porta-pizzeria-asbury-park/,Porta Pizzeria Asbury Park,732-740-1722,"Indoor and outdoor spaces,Rentals included,Valet parking",200,"911 Kingsley Street, Asbury Park, NJ 07712"
https://www.wedding-spot.com/venue/2285/kimpton-eventi/,Kimpton Eventi,646-794-6837,"Award winner,Indoor and outdoor spaces,Upgraded rentals included",160,"851 6th Avenue, New York, NY 10001"
https://www.wedding-spot.com/venue/16087/the-german-society-of-pennsylvania/,The German Society of Pennsylvania,,"Indoor and outdoor spaces,BYO,Valet parking",200,"611 Spring Garden Street, Philadelphia, PA 19123"
https://www.wedding-spot.com/venue/9821/morven-museum-garden/,Morven Museum & Garden,609-826-1222,"Indoor and outdoor spaces,BYO",450,"55 Stockton Street, Princeton, NJ 08540"
https://www.wedding-spot.com/venue/12608/cape-cod-inn-motel/,Cape Cod Inn Motel,609-522-1177,"BYO,Valet parking",95,"6109 Atlantic Avenue, Wildwood, NJ 08260"
https://www.wedding-spot.com/venue/9968/bridgehampton-tennis-surf-club/,Bridgehampton Tennis & Surf Club,212-883-0606,"Indoor and outdoor spaces,Upgraded rentals included",240,"231 Mid Ocean Drive, Bridgehampton, NY 11932"
https://www.wedding-spot.com/venue/703/francescas-touch-of-class-premium-luxury-yachts/,Francesca's Touch of Class - Premium Luxury Yachts,917-968-0794,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included",1200,"West 41st Street, West Side HWY, Pier 81"
https://www.wedding-spot.com/venue/9346/liberty-lake-picnic/,Liberty Lake Picnic,609-499-0432,"BYO,Rentals included,Valet parking",2500,"1195 Florence Columbus Road, Bordentown, NJ 08505"
https://www.wedding-spot.com/venue/2292/smooth-sailing-celebrations/,Smooth Sailing Celebrations,973-715-1091,"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included",1200,"Lincoln Harbor Marina, 1500 Harbor Boulevard"
https://www.wedding-spot.com/venue/1400/leonards-palazzo/,Leonard's Palazzo,516-487-7900,"4x award winner,Indoor and outdoor spaces,Upgraded rentals included",1000,"555 Northern Boulevard, Great Neck, NY 11021"
https://www.wedding-spot.com/venue/817/pinecrest-country-club/,PineCrest Country Club,215-855-4113 ext. 1,"Indoor and outdoor spaces,Upgraded rentals included,Rentals included",260,"101 Country Club Drive, Lansdale, PA 19446"
https://www.wedding-spot.com/venue/9165/leftys-tavern/,Lefty's Tavern,609-607-0707,"Indoor and outdoor spaces,Rentals included,Valet parking",170,"547 North Main Street, Barnegat, NJ 08005"
https://www.wedding-spot.com/venue/3411/belmont-mansion/,Belmont Mansion,267-736-0007,"Indoor and outdoor spaces,BYO,Valet parking",350,"2000 Belmont Mansion Drive, Philadelphia, PA 19131"
https://www.wedding-spot.com/venue/8730/atlantis-banquets-events-long-island-aquarium/,Atlantis Banquets & Events / Long Island Aquarium,934-451-8012,"Rehearsal dinner and bridal shower,Accommodation offered,Indoor and outdoor spaces",340,"431 East Main Street, Riverhead, NY 11901"
https://www.wedding-spot.com/venue/14351/intercontinental-new-york-barclay/,InterContinental New York Barclay,,"Upgraded rentals included,Rentals included,Valet parking",350,"111 East 48th Street, New York, NY 10017"
https://www.wedding-spot.com/venue/15477/the-rockleigh/,The Rockleigh,201-768-7171 ext. 121,"Award winner,Indoor and outdoor spaces",800,"26 Paris Avenue, Rockleigh, NJ 07647"
https://www.wedding-spot.com/venue/15714/the-arts-ballroom/,The Arts Ballroom,215-621-8561,"Upgraded rentals included,Rentals included,Valet parking",230,"1324 Locust Street, Philadelphia, PA 19107"
https://www.wedding-spot.com/venue/714/pleasantdale-chateau/,Pleasantdale Chateau,973-731-5600,"2x award winner,Indoor and outdoor spaces,Rentals included",350,"757 Eagle Rock Avenue, West Orange, NJ 07052"
https://www.wedding-spot.com/venue/661/the-grand-hotel/,The Grand Hotel,609-884-5611 ext. 519,"Indoor and outdoor spaces,Valet parking",300,"1045 Beach Avenue, Cape May, NJ 08204"
https://www.wedding-spot.com/venue/768/ocean-club-hotel/,Ocean Club Hotel,609-884-7000 ext. 702,"Indoor and outdoor spaces,Valet parking",150,"1035 Beach Avenue, Cape May, NJ 08204"
